array,site,array_visit,buffer_dist,FIRE_CLASS5_1940,FIRE_CLASS5_1949,FIRE_CLASS4_2019,FIRE_CLASS5_1941,FIRE_CLASS5_1942,FIRE_CLASS5_2014,FIRE_CLASS5_2019,FIRE_CLASS5_2018,FIRE_CLASS5_2004,FIRE_CLASS5_2006,FIRE_CLASS5_1955,FIRE_CLASS5_1945,FIRE_CLASS5_1953,FIRE_CLASS5_1959,FIRE_CLASS5_1963,FIRE_CLASS5_1999,FIRE_CLASS5_2000,FIRE_CLASS5_2009,FIRE_CLASS5_2021,FIRE_CLASS5_1950,FIRE_CLASS5_2017,FIRE_CLASS5_2010,FIRE_CLASS5_1968,FIRE_CLASS5_2007,FIRE_CLASS5_2011,FIRE_CLASS5_2015,FIRE_CLASS5_2016,FIRE_CLASS5_2023,FIRE_CLASS1_2009,FIRE_CLASS2_2009,FIRE_CLASS5_2024,FIRE_CLASS5_2025,FIRE_CLASS5_2008,FIRE_CLASS5_1998,FIRE_CLASS5_2005,FIRE_CLASS9_1998,FIRE_CLASS5_1980,FIRE_CLASS5_1971,FIRE_CLASS5_2002,FIRE_CLASS5_2013,FIRE_CLASS9_2002,FIRE_CLASS5_1990,FIRE_CLASS1_2006,FIRE_CLASS9_1999,FIRE_CLASS5_1988,FIRE_CLASS5_2012,FIRE_CLASS1_2019,FIRE_CLASS2_2019,FIRE_CLASS3_2019,FIRE_CLASS5_1948,FIRE_CLASS5_1970,FIRE_CLASS2_2011,FIRE_CLASS1_2011,FIRE_CLASS4_2011,FIRE_CLASS5_2003,FIRE_CLASS3_2011,FIRE_CLASS9_2003,FIRE_CLASS5_1944,FIRE_CLASS5_1993,FIRE_CLASS5_1961,FIRE_CLASS1_2021,FIRE_CLASS2_2021,FIRE_CLASS2_2015,FIRE_CLASS5_1952,FIRE_CLASS2_2006,FIRE_CLASS5_1982,FIRE_CLASS5_2022,FIRE_CLASS1_2016,FIRE_CLASS2_2016,FIRE_CLASS3_2015,FIRE_CLASS1_2015,FIRE_CLASS4_2015,FIRE_CLASS3_2016,FIRE_CLASS4_2021,FIRE_CLASS5_1958,FIRE_CLASS5_1994,FIRE_CLASS5_1972,FIRE_CLASS4_2016,FIRE_CLASS3_2009,FIRE_CLASS5_1964,FIRE_CLASS5_1956,FIRE_CLASS5_1966,FIRE_CLASS5_1967,FIRE_CLASS3_2021,FIRE_CLASS5_2020,FIRE_CLASS5_1992,FIRE_CLASS9_1968,FIRE_CLASS5_1943,FIRE_CLASS1_2007,FIRE_CLASS1_2017,FIRE_CLASS2_2017,FIRE_CLASS5_1946,FIRE_CLASS5_1981,FIRE_CLASS5_1987,FIRE_CLASS3_2017,FIRE_CLASS4_2017,FIRE_CLASS5_2001,FIRE_CLASS5_1995,FIRE_CLASS5_1978,FIRE_CLASS9_1978,FIRE_CLASS5_1974
LU2,LU2_3,LU2_2021,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,750,0.01686719150127685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,1000,0.08727402291195419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,1250,0.13191998395432866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
