array,site,week,species,presence,detections,month,year
LU2,LU2_100,2021-07-18T00:00:00Z,black bear,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,caribou,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,cougar,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,coyote,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,fisher,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,grey wolf,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,lynx,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,moose,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,red fox,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,red squirrel,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,snowshoe hare,0,0,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,white-tailed deer,1,1,7,2021
LU2,LU2_100,2021-07-18T00:00:00Z,wolverine,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,black bear,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,caribou,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,cougar,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,coyote,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,fisher,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,grey wolf,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,lynx,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,moose,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,red fox,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,red squirrel,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,snowshoe hare,0,0,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,white-tailed deer,1,1,7,2021
LU2,LU2_100,2021-07-25T00:00:00Z,wolverine,0,0,7,2021
LU2,LU2_100,2021-08-01T00:00:00Z,black bear,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,caribou,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,cougar,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,coyote,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,fisher,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,grey wolf,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,lynx,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,moose,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,red fox,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,red squirrel,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,snowshoe hare,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,white-tailed deer,0,0,8,2021
LU2,LU2_100,2021-08-01T00:00:00Z,wolverine,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,black bear,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,caribou,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,cougar,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,coyote,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,fisher,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,grey wolf,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,lynx,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,moose,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,red fox,1,1,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,red squirrel,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,snowshoe hare,0,0,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,white-tailed deer,1,1,8,2021
LU2,LU2_100,2021-08-08T00:00:00Z,wolverine,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,black bear,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,caribou,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,cougar,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,coyote,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,fisher,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,grey wolf,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,lynx,1,1,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,moose,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,red fox,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,red squirrel,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,snowshoe hare,0,0,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,white-tailed deer,1,2,8,2021
LU2,LU2_100,2021-08-15T00:00:00Z,wolverine,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,black bear,1,2,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,caribou,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,cougar,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,coyote,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,fisher,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,grey wolf,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,lynx,1,1,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,moose,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,red fox,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,red squirrel,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,snowshoe hare,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,white-tailed deer,0,0,8,2021
LU2,LU2_100,2021-08-22T00:00:00Z,wolverine,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,black bear,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,caribou,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,cougar,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,coyote,1,1,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,fisher,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,grey wolf,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,lynx,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,moose,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,red fox,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,red squirrel,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,snowshoe hare,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,white-tailed deer,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,wolverine,0,0,8,2021
LU2,LU2_100,2021-09-05T00:00:00Z,black bear,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,caribou,0,0,9,2021
