Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Ecosite,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes,Photos taken
LU04,22-Sep-24,11:43,AB MC,LU04-N15,LU04-N15-24,ACME M105,OSM-22-25,55.91449,-111.87921,LU04-N15-24,Conifer,Thick conifer on edge of cutline,Flat,0,704,1,N,1,5,NA,Y
LU04,22-Sep-24,11:00,MC AB,LU04-M14,LU04-M14-24,ACME-2023-79,OSM-24-132,55.91824,-111.90018,LU04-M14-24,Conifer,NA,Flat,0,695,1,NW,3,3,NA,Y
LU04,22-Sep-24,16:10,MC AB,LU04-J14,LU04-J14-24,ACME-2023-19,OSM-24-095,55.93351,-111.95599,LU04-J14-24,Conifer,NA,Flat,0,694,1,NE,2,4,NA,Y
LU04,22-Sep-24,14:53,AB MC,LU04-J15,LU04-J15-24,ACME-2022-09,OSM-24-082,55.92326,-111.95122,LU04-J15-24,Conifer,Real nice trail,Flat,0,696,1,N,3,6,NA,Y
LU04,21-Sep-24,NA,MB SM,I-12,LU04-I12-24,ACME-2022-36,OSM-24-086,55.94541,-111.98608,LU04-I12-24,Mixed,"Very old cutline, shrubs moss, lab tea, and black spruce",Flat,0,706,2,W,3,5,Heli. Land in old well pad E of point and run LOL,Y
LU04,22-Sep-24,15:06,MB SM,LU04-I13,LU04-I13-24,ACME-2022-20,OSM-24-081,55.93436,-111.97481,LU04-I13-24,Conifer,"Waterfront, very scenic. Also very wet",NA,NA,694,1,N,2,8,"Heli. Land by lake, bit of a tough walk. ",Y
LU04,22-Sep-24,14:05,MB SM,Q-10,LU04-Q10-24,ACME-2023-59,OSM-24-092,55.97324,-111.80965,LU04-Q10-24,Conifer,"Boggy, Black spruce + tamarac, wet, lots of grasses and willows, near boggy grass field",Flat,0,720,0.25,N,NA,4,Land in boggy field N of point ,Y
LU04,22-Sep-24,13:38,MB SM,LU04-O10-24,LU04-O10-24,ACME-2022-80,OSM-22-57,55.97773,-111.85978,LU04-O10-24,Conifer,"Boggy + wet, spruce",Flat,0,717,0.5,NE,2,6,Heli,Y
LU04,22-Sep-24,11:49,MB SM,R-7,LU04-R7-24,ACME-2023-89,OSM-24-131,56.02719,-111.7931,LU04-R7-24,Conifer,"Solid ground w/ lichen, well-defined trails in area, mixed forest type",Flat,0,737,1,NE,3,5,"Heli. Land in opening E of point, grassy + solid",Y
LU04,22-Sep-24,11:17,MB SM,LU04-R9,LU04-R9-24,ACME-2023-61,OSM-22-18,56.00365,-111.78338,LU04-R9-24,Mixed,Saw 2 moose close by!,Flat,0,723,0.5,N,3,6,Heli,Y
LU04,22-Sep-24,10:29,MB SM,T-8,LU04-T8-24,ACME-2023-106,OSM-24-136,56.0117,-111.7458,LU04-T8-24,Conifer ,"Adjacent to old well pad. Mixed w/ predominatly black spruce, mossy w/ herbacious plants, willows, and grasses",Flat,0,718,1,N,1,5,Land in S corner of well pad. Tall grass and shrubs so be careful,Y
LU04,21-Sep-24,18:32,MB SM,O-16,LU04-O16-24,ACME-2023-45,OSM-24-087,55.89234,-111.8605,LU04-O16-24,Conifer,"Mossy but not spongy, black spruce, adjacent to river + clearing",Flat,0,697,0.2,NW,2,4,"Heli. Land in cleaing N of point, park in GRASS! Moss is very spongy and wet",Y
LU04,21-Sep-24,13:04,MB SM,J-26,LU04-J26-24,ACME M141,OSM-24-102,55.76973,-111.94558,LU04-J26-24,Conifer,"Blk spruce, mossy but solid, lots of trails. Camera pointed along opening in the trees",Flat,0,676,2,N,1,6,Heli. Land in opening N of camera point. Wet. ,Y
LU04,21-Sep-24,13:49,MB SM,LU04-K-25,LU04-K25-24,ACME-2022-26,OSM-24-114,55.78091,-111.93428,LU04-K25-24,Conifer,"Very boggy, grassy, river-y, small trees. ",Flat,0,676,0,NE,1,6,Heli,Y
LU04,21-Sep-24,15:38,MB SM,L-23,LU04-L23-24,ACME-2023-54,OSM-24-137,55.80588,-111.91465,LU04-L23-24,Conifer ,Mossy+boggy w/ lab tea + blk spruce. Adjacent to wet grassy cleaing. Lots of game trails,Flat,0,692,0.5,N,2,6,Heli. Land in grassy area N of camera point,Y
LU04,21-Sep-24,12:36,MB SM,LU04-H26,LU04-H26-24,ACME-2023-67,OSM-24-139,55.77022,-112.00691,LU04-H26-24,Conifer,"In conifer forest, tall trees next to bog",Flat,0,686,0.5,NE,2,6,"Heli. Land in bog, walk into tall trees",Y
LU04,21-Sep-24,16:03,MB SM,LU04-K23,LU04-K23-24,ACME-2023-69,OSM-24-130,55.79526,-111.93501,LU04-K23-24,Conifer,"Conifer stand, mossy",Flat,0,687,0.5,NE,1,7,Heli,Y
LU04,21-Sep-24,17:17,MB SM,LU04-J21,LU04-J21-24,M112,OSM-24-136,55.83117,-111.95554,LU04-J21-24,Mixed,Conifer stand next to hill. Lots of berries,Flat,0,684,0.5,NE,2,6,Heli,Y
LU04,21-Sep-24,16:36,MB SM,I-21,LU04-I21-24,M127,OSM-24-128,55.83113,-111.98164,LU04-I21-24,Mixed,Camera in opening surrounded by young aspen. Solid ground lots of herbacious plants and roses. Near old well pad,Flat,0,691,0.5,N,3,5,Heli. Land in well pad-looking block south of camera point. Follow game trail. ,NA
LU04,21-Sep-24,12:08,MC AB,LU04-N30,LU04-N30-24,ACME-2024-86,OSM-24-120,55.71499,-111.86361,LU04-N30-24,Mixed,"Camera near where 3 habitat types join (Mature mixed stand, open field, and small conifers)",Flat,0,676,0,NW,3,5,Big black bear near site!,Y
LU04,21-Sep-24,12:50,AB MC,LU04-O23,LU04-O23-24,ACME-2023-30,OSM-22-46,55.79732,-111.85567,LU04-O23-24,Conifer,Small island of upland in middle of swam. Not much else choice,Flat,0,677,1,W,1,5,NA,Y
LU04,21-Sep-24,13:25,MC AB,LU04-O22,LU04-O22-24,ACME-2022-40,OSM-24-100,55.81904,-111.85468,LU04-022-24,Conifer,Dense conifer,Flat,0,687,1,N,2,3,Wet landing spot,Y
LU04,21-Sep-24,15:15,AB MC,LU04-L18,LU04-L18-24,ACME-2023-64,OSM-24-134,55.87907,-111.92156,LU04-L18-24,Mixed,Open mixed forest,Flat,0,699,1,N,3,5,NA,Y
LU04,21-Sep-24,15:52,MC AB,U4-L17,LU04-L17-24,ACME M115,OSM-24-133,55.89315,-111.92601,LU04-L17-24,Mixed,NA,Flat,0,688,1,N,1,2,NA,Y
LU04,21-Sep-24,16:24,AB MC,LU04-K17,LU04-K17-24,ACME-2023-92,OSM-24-140,55.88442,-111.94687,LU04-K17-24,Conifer,"Edge, open, conifer",Flat,0,695,1,NE,2,6,NA,Y
LU04,21-Sep-24,17:06,AB MC,LU04-K19,LU04-K19-24,ACME-2024-89,OSM-24-124,55.85956,-111.92847,LU04-K19-24,Mixed,NA,Flat,0,686,0,SW,2,5,"Walk down line from pad, easy + well-defined wildlife trail, heli. ",Y
LU04,21-Sep-24,18:16,MC AB,LU04-I22,LU04-I22-24,ACME-2023-23,OSM-24-091,55.81487,-111.98206,LU04-I22-24,Conifer,NA,Flat,0,684,1,SE,3,5,Heli,Y
LU04,20-Sep-24,11:05,MC AB,LU04-Q20,LU04-Q20-24,M149,OSM-24-103,55.84694,-111.80308,LU04-Q20-24,Broadleaf,NA,Flat,0,683,1,N,1,3,Heli,Y
LU04,20-Sep-24,NA,AB MC,LU04-V25,LU04-V25-24,HLPXHN10080601,OSM-24-115,55.78956,-111.70454,LU04-V25-24,Conifer,"wet, conifer",Flat,0,680,1,W,2,6,NA,NA
LU04,20-Sep-24,11:44,MC AB,LU04-P22,LU04-P22-24,ACME-2022-27,OSM-24-105,55.82927,-111.82845,LU04-P22-24,Conifer,NA,Flat,0,681,0,NA,1,4,Heli,Y
LU04,20-Sep-24,12:10,AB MC,LU04-O21,LU04-O21-24,ACME-2023-110,OSM-24-113,55.83902,-111.85242,LU04-021-24,Broadleaf,Edge of old seizmic line. Mixed wood forest,Flat,0,691,1,NE,2,6,Just outside hex but forest looks very representative. Short walk,Y
LU04,20-Sep-24,13:53,AB MC,LU04-P17,LU04-P17-24,ACME-2023-10,OSM-24-089,55.88747,-111.82773,LU04-P17-24,Conifer,"Nice trail in lab tea conifer, off big ole' line",Flat,0,695,1,NE,3,5,NA,NA
LU04,20-Sep-24,14:32,MC AB,LU04-Q16,LU04-Q16-24,AMCE M126,OSM-24-085,55.90385,-111.81104,LU04-Q16-24,Conifer,"Boggy, lab tea, but open",Flat,0,695,1,W,3,4,NA,Y
LU04,20-Sep-24,11:24,MB SM,LU04-V19,LU04-V19-24,ACME E31,OSM-24-099,55.86918,-111.7002,LU04-V19-24,Conifer,"In spruce stand, mossy + lab tea ground cover",Flat,0,694,0.2,N,2,6,Heli. Land in well pad E of site,Y
LU04,20-Sep-24,14:55,AB MC,LU04-O17,LU04-O17-24,ACME-2022-43,OSM-24-083,55.87772,-111.85127,LU04-O17-24,Mixed,"Mature-ish conifer, moss",Flat,0,695,0.5,N,3,5,NA,Y
LU04,20-Sep-24,NA,MB SM,W-19,LU04-W19-24,ACME-2022-54,OSM-24-090,55.85603,-111.68883,LU04-W19-24,Mixed,"Boggy/spongy/lab tea/blk spruce, immediately adjacent to cut line. Pointed along trail and @ cutline",Flat,0,688,0.5,NE,2,4,Heli. Land in cut block N NE of camera,Y
LU04,20-Sep-24,10:10,MB SM,LU04-Y25,LU04-Y25-24,ACME-2024-24,OSM-24-117,55.77042,-111.63433,LU04-Y25-24,Conifer,"Boggy, spruce trees, moss + grasses, well defined game trail",Flat,0,701,0.5,NE,3,6,Heli. Land in well pad SW of site,Y
LU04,20-Sep-24,NA,MB SM,LU04-S17,LU04-S17-24,ACME-2022-10,OSM-24-094,55.89083,-111.7704,LU4-S17-24,Conifer,"Boggy, black spruce",Flat,0,NA,1,N,NA,4,Heli,NA
LU04,20-Sep-24,12:01,MB SM,S18,LU04-S18-24,ACME-2022-78,OSM-24-107,55.87502,-111.77399,LU04-S18-24,Conifer,"Boggy and wet, lots of shrubs (birch and willow), tamarak stand near a river",Flat,0,683,0.5,W,1,4,Heli. Land south of riverbend NE of camera point. ,NA
