array,site,start_date,end_date,camera_failure_details
LU3,LU3_14,7/8/2021,2/3/2022,NA
LU3,LU3_19,7/8/2021,6/11/2022,NA
LU3,LU3_20,7/8/2021,2/3/2022,NA
LU3,LU3_21,7/8/2021,2/3/2022,NA
LU3,LU3_25,7/8/2021,2/3/2022,NA
LU3,LU3_32,7/8/2021,2/3/2022,NA
LU3,LU3_45,7/8/2021,2/3/2022,NA
LU3,LU3_48,7/8/2021,6/12/2022,NA
LU3,LU3_49,7/8/2021,2/3/2022,NA
LU3,LU3_50,7/8/2021,2/3/2022,NA
LU3,LU3_7,7/9/2021,6/11/2022,NA
LU3,LU3_46,7/9/2021,2/2/2022,NA
LU3,LU3_38,7/9/2021,2/2/2022,NA
LU3,LU3_10,7/9/2021,2/2/2022,NA
LU3,LU3_52,7/9/2021,2/2/2022,NA
LU3,LU3_28,7/9/2021,2/2/2022,NA
LU3,LU3_126,7/9/2021,6/11/2022,NA
LU3,LU3_129,7/9/2021,2/2/2022,NA
LU3,LU3_51,7/9/2021,2/2/2022,NA
LU3,LU3_147,7/9/2021,2/2/2022,NA
LU3,LU3_39,7/10/2021,2/4/2022,NA
LU3,LU3_40,7/10/2021,2/4/2022,NA
LU3,LU3_41,7/10/2021,2/4/2022,NA
LU3,LU3_36,7/10/2021,2/4/2022,NA
LU3,LU3_17,7/10/2021,6/11/2022,NA
LU3,LU3_15,7/10/2021,6/11/2022,NA
LU3,LU3_44,7/10/2021,6/11/2022,NA
LU3,LU3_27,7/10/2021,2/3/2022,NA
LU3,LU3_13,7/11/2021,6/12/2022,NA
LU3,LU3_18,7/11/2021,6/12/2022,NA
LU3,LU3_137,7/11/2021,2/3/2022,NA
LU3,LU3_111,7/11/2021,2/4/2022,NA
LU3,LU3_131,7/11/2021,6/12/2022,NA
LU3,LU3_103,7/11/2021,6/12/2022,NA
LU3,LU3_102,7/11/2021,6/12/2022,NA
LU3,LU3_5,7/11/2021,6/12/2022,NA
LU3,LU3_106,7/11/2021,NA,"CAMERA NOT RETRIEVED. Camera site is now a cutblock, camera was cut down."
LU2,LU2_15,7/12/2021,2/6/2022,NA
LU2,LU2_106,7/12/2021,2/5/2022,NA
LU2,LU2_34,7/12/2021,2/6/2022,NA
LU2,LU2_101,7/12/2021,2/6/2022,NA
LU2,LU2_5,7/12/2021,2/6/2022,NA
LU2,LU2_36,7/12/2021,2/6/2022,NA
LU2,LU2_24,7/12/2021,9/10/2022,NA
LU2,LU2_13,7/12/2021,2/6/2022,NA
LU2,LU2_32,7/12/2021,2/6/2022,NA
LU2,LU2_51,7/13/2021,9/10/2022,NA
LU2,LU2_153,7/13/2021,9/10/2022,NA
LU2,LU2_50,7/13/2021,9/10/2022,NA
LU2,LU2_46,7/13/2021,9/10/2022,NA
LU2,LU2_25,7/13/2021,9/9/2022,NA
LU2,LU2_26,7/13/2021,9/9/2022,NA
LU2,LU2_44,7/13/2021,9/9/2022,NA
LU2,LU2_143,7/13/2021,9/9/2022,NA
LU2,LU2_42,7/13/2021,9/10/2022,NA
LU2,LU2_18,7/13/2021,9/10/2022,NA
LU2,LU2_110,7/13/2021,9/10/2022,NA
LU2,LU2_47,7/14/2021,9/9/2022,NA
LU2,LU2_39,7/14/2021,9/9/2022,NA
LU2,LU2_17,7/14/2021,9/9/2022,NA
LU2,LU2_38,7/14/2021,9/9/2022,NA
LU2,LU2_40,7/14/2021,9/9/2022,NA
LU2,LU2_57,7/14/2021,9/10/2022,NA
LU2,LU2_56,7/14/2021,9/10/2022,NA
LU2,LU2_27,7/14/2021,2/5/2022,NA
LU2,LU2_52,7/14/2021,9/9/2022,NA
LU2,LU2_54,7/14/2021,9/9/2022,NA
LU2,LU2_155,7/14/2021,9/9/2022,NA
LU2,LU2_100,7/15/2021,2/5/2022,NA
LU2,LU2_20,7/15/2021,9/9/2022,NA
LU2,LU2_21,7/15/2021,9/9/2022,NA
LU2,LU2_137,7/14/2021,9/9/2022,NA
LU2,LU2_123,7/15/2021,2/5/2022,NA
LU2,LU2_119,7/15/2021,9/10/2022,NA
LU2,LU2_30,7/15/2021,2/6/2022,NA
LU2,LU2_31,7/15/2021,2/6/2022,NA
LU2,LU2_3,7/15/2021,2/6/2022,NA
LU2,LU2_33,7/15/2021,2/6/2022,NA
LU2,LU2_29,7/15/2021,2/6/2022,NA
