site,array,start_date,end_date,deployment_id,camera_failure_details
LU4_N15_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_M14_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_J14_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_J15_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_I12_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_I13_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_Q10_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_O10_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_R7_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_R9_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_T8_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_O16_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_J26_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_K25_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_L23_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_H26_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_K23_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_J21_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_I21_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_N30_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_O23_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_O22_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_L18_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_L17_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_K17_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_K19_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_I22_24,LU4,9/21/2024,NA,D1,still deployed as of 2025-09-22
LU4_Q20_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_V25_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_P22_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_O21_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_P17_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_Q16_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_V19_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_O17_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_W19_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_Y25_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_S17_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_S18_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_R14_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_V17_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_U15_24,LU4,9/20/2024,NA,D1,still deployed as of 2025-09-22
LU4_M12_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_O13_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_P15_24,LU4,9/22/2024,NA,D1,still deployed as of 2025-09-22
LU4_E15_24,LU4,9/19/2024,NA,D1,still deployed as of 2025-09-22
LU4_G17_24,LU4,9/19/2024,NA,D1,still deployed as of 2025-09-22
LU4_G13_24,LU4,9/19/2024,NA,D1,still deployed as of 2025-09-22
LU4_G12_24,LU4,9/19/2024,NA,D1,still deployed as of 2025-09-22
LU4_F14_24,LU4,9/19/2024,NA,D1,still deployed as of 2025-09-22
LU3_102_24,LU3,9/18/2024,9/13/2025,D1,NA
LU3_5_24,LU3,9/18/2024,NA,D1,destroyed by fire (M122). No redeployment.
LU3_103_24,LU3,9/18/2024,NA,D1,destroyed by fire (HLPXN10080599). New cam redeployed.
LU3_131_24,LU3,9/18/2024,NA,D1,destroyed by fire (HLPXN10081023). No redeployment. Last pic May 29
LU3_39_24,LU3,9/18/2024,9/13/2025,D1,NA
LU3_18_24,LU3,9/18/2024,9/13/2025,D1,NA
LU3_20_24,LU3,9/18/2024,9/15/2025,D1,NA
LU3_19_24,LU3,9/18/2024,9/15/2025,D1,NA
LU3_111_24,LU3,9/18/2024,9/13/2025,D1,NA
LU3_AB21_24,LU3,9/18/2024,9/13/2025,D1,NA
LU3_27_24,LU3,9/18/2024,9/15/2025,D1,NA
LU3_36_24,LU3,9/18/2024,9/15/2025,D1,NA
LU3_40_24,LU3,9/18/2024,9/13/2025,D1,NA
LU3_41_24,LU3,9/18/2024,9/13/2025,D1,NA
LU3_52_24,LU3,9/17/2024,9/14/2025,D1,NA
LU3_15_24,LU3,9/17/2024,NA,D1,destroyed by fire (ACME-2022-38). No redeployment.
LU3_44_24,LU3,9/17/2024,9/14/2025,D1,NA
LU3_17_24,LU3,9/17/2024,9/14/2025,D1,NA
LU3_147_24,LU3,9/17/2024,9/14/2025,D1,NA
LU3_51_24,LU3,9/17/2024,9/14/2025,D1,NA
LU3_AH7_24,LU3,9/17/2024,NA,D1,destroyed by fire (ACME-2022-37). No redeployment.
LU3_126_24,LU3,9/17/2024,NA,D1,destroyed by fire (HLPXHN100080928). No redeployment.
LU3_129_24,LU3,9/17/2024,2/15/2025,D1,last pic (2024-25) is Feb 15
LU3_28_24,LU3,9/14/2024,9/14/2025,D1,NA
LU3_AH14_24,LU3,9/14/2024,NA,D1,destroyed by fire (ACME-2023-53). No redeployment.
LU3_38_24,LU3,9/14/2024,NA,D1,destroyed by fire (ACME-2022-24). No redeployment.
LU3_13_24,LU3,9/16/2024,9/13/2025,D1,NA
LU3_25_24,LU3,9/14/2024,9/14/2025,D1,Slate photo is 20min ahead. Correct time is 14:21
LU3_21_24,LU3,9/14/2024,9/14/2025,D1,NA
LU3_AC10_24,LU3,9/14/2024,9/14/2025,D1,NA
LU3_46_24,LU3,9/14/2024,9/14/2025,D1,NA
LU3_10_24,LU3,9/14/2024,9/14/2025,D1,destroyed by fire (ACME-2023-31). No redeployment.
LU3_AE12_24,LU3,9/14/2024,9/14/2025,D1,NA
LU3_7_24,LU3,9/14/2024,9/14/2025,D1,destroyed by fire (ACME-2023-33). No redeployment.
LU3_14_24,LU3,9/12/2024,NA,D1,"camera stopped early (acme-2024-65), power issues?"
LU3_137_24,LU3,9/13/2024,NA,D1,"no photos from 2024-25, camera was not armed properly"
LU3_M20_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_L22_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_J23_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_U6_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_L16_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_N18_24,LU3,9/13/2024,9/15/2025,D1,NA
LU3_L15_24,LU3,9/13/2024,9/15/2025,D1,NA
